"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"18",160.91,109.16205162182,212.65794837818,81.7683424795949,240.051657520405
"19",160.91,87.7273495785957,234.092650421404,48.9867945859565,272.833205414044
"20",160.91,71.2799242215416,250.540075778458,23.8326281794429,297.987371820557
"21",160.91,57.414103243641,264.405896756359,2.62668495918987,319.19331504081
"22",160.91,45.1980697302406,276.621930269759,-16.0561260676332,337.876126067633
"23",160.91,34.1539312375759,287.666068762424,-32.9466783230914,354.766678323091
"24",160.91,23.9977977335288,297.822202266471,-48.4791441444365,370.299144144436
"25",160.91,14.5446991571914,307.275300842809,-62.936410828087,384.756410828087
"26",160.91,5.66615486546144,316.153845134539,-76.5149725612152,398.334972561215
"27",160.91,-2.7313811158636,324.551381115864,-89.3578955654737,411.177895565474
"28",160.91,-10.7185284411017,332.538528441102,-101.573183281992,423.393183281992
"29",160.91,-18.3501515569168,340.170151556917,-113.244743641114,435.064743641114
"30",160.91,-25.6698812775898,347.48988127759,-124.439304215031,446.259304215031
"31",160.91,-32.713093299612,354.533093299612,-135.210967462757,457.030967462757
"32",160.91,-39.5089422690904,361.32894226909,-145.60432156778,467.42432156778
"33",160.91,-46.0817935127181,367.901793512718,-155.65663008162,477.47663008162
"34",160.91,-52.4522570722443,374.272257072244,-165.399413343088,487.219413343088
"35",160.91,-58.6379512642128,380.457951264213,-174.85961624213,496.67961624213
"36",160.91,-64.654077516044,386.474077516044,-184.060487355751,505.880487355751
"37",160.91,-70.5138605395188,392.333860539519,-193.022252135266,514.842252135266
"38",160.91,-76.2288905016749,398.048890501675,-201.762636211527,523.582636211527
"39",160.91,-81.8093926115425,403.629392611542,-210.297277692256,532.117277692256
